X	Y	Z	Mass
-0.368295	0.107823	-0.00786072	1
-0.130018	0.178302	0.0093003	1
-0.230613	0.0789368	0.0074258	1
-0.155828	0.133571	0.00478702	1
-0.188746	-0.00942698	0.0495667	1
-0.10846	0.164751	-0.00601165	1
0.0013515	0.0765544	0.00296029	1
-0.00735603	0.101927	0.00103518	1
0.099079	0.311547	0.171611	1
0.00905352	-0.0626107	-0.0251124	1
-0.0840388	0.103567	-0.000197613	1
-0.20201	0.211063	-0.0011436	1
-0.0663792	0.0432229	-0.0195767	1
-0.514173	-0.286267	0.116719	1
-0.607608	-0.0411427	0.336624	1
-0.276219	-0.0878691	0.193161	1
-0.427298	0.117851	-0.0340597	1
-0.227449	0.291141	0.0278014	1
-0.133026	0.184295	0.00839336	1
-0.117471	0.0759054	0.00158013	1
-0.189356	0.00358224	0.0332264	1
-0.137116	0.037601	0.022932	1
-0.0172569	0.107357	0.133938	1
0.0138295	0.059959	0.0892423	1
-0.0135217	0.194322	0.216751	1
-0.126773	-0.0116704	0.187971	1
-0.0562519	0.0796356	0.0900896	1
-0.119826	0.0394921	-0.0276031	1
-0.375133	0.112278	0.0223503	1
-0.346412	0.0351492	0.054922	1
-0.267354	0.103603	-0.00798521	1
-0.232013	0.138078	0.00812345	1
-0.223771	0.223473	0.0185615	1
-0.126662	0.0759911	0.110355	1
-0.128092	0.182002	0.00515557	1
-0.181407	0.137785	-0.0199526	1
-0.0650066	0.172874	0.00702195	1
0.0735258	0.182033	0.0139325	1
-0.0612568	0.101773	0.0479246	1
0.0779193	-0.0367614	0.00986026	1
-0.0160895	-0.0518575	0.127033	1
-0.141157	0.0497721	0.19754	1
-0.16318	0.0951795	0.00245412	1
-0.387008	0.0802312	0.00560545	1
-0.301542	0.139627	0.00119217	1
-0.363137	-0.208693	0.401627	1
-0.31111	-0.0585491	0.313731	1
-0.164758	0.268471	0.085047	1
-0.192682	0.109722	0.013815	1
-0.17978	0.158941	0.00368914	1
-0.187994	-0.130571	0.158528	1
0.00974743	0.156847	0.0649889	1
-0.0146874	0.0557544	0.0135372	1
0.0291958	0.0685591	0.161008	1
-0.0864108	0.176968	-0.00358695	1
0.0469123	-0.0677733	0.07828	1
-0.325338	0.0370401	0.144122	1
-0.358719	-0.0005741	0.229787	1
-0.431431	-0.17761	0.125252	1
-0.415345	-0.232359	0.0703815	1
-0.328989	0.215736	0.00629234	1
-0.518898	0.0432265	0.0665306	1
-0.309868	0.283465	0.0342706	1
-0.235652	0.257343	0.00979426	1
-0.277831	0.0769067	0.101761	1
-0.146457	0.205413	0.0070488	1
-0.0776321	0.172729	0.019873	1
-0.173447	-0.114719	0.144091	1
-0.079491	-0.0269952	-0.00550157	1
0.0275931	0.0716836	0.221616	1
-0.214894	0.011916	0.12788	1
-0.415726	-0.236578	0.183094	1
-0.496076	0.0780871	0.31143	1
-0.524953	0.00375489	0.21947	1
-0.472517	0.0198918	0.342821	1
-0.320907	-0.238713	0.191451	1
-0.265922	0.258309	0.0208648	1
-0.263915	0.198668	0.154023	1
-0.273158	0.133286	0.167903	1
-0.248606	0.0726454	0.17641	1
-0.0564921	-0.281536	0.129308	1
-0.193071	0.00335672	-0.0308267	1
-0.0924709	0.151508	0.01269	1
-0.0224166	0.00322422	-0.0182681	1
-0.340842	-0.0758391	0.305084	1
-0.22661	0.265938	0.236039	1
0.0265767	-0.0860348	0.0971849	1
-0.220539	0.109248	0.088561	1
-0.373499	0.0278947	0.221619	1
-0.394513	0.169982	-0.101831	1
-0.494861	-0.15148	0.0345592	1
-0.134158	0.084503	0.0667689	1
-0.210162	0.205333	0.0160539	1
-0.259413	-0.252205	0.206861	1
-0.369803	0.176927	0.0302773	1
-0.118479	-0.0310268	0.0938361	1
0.0251528	0.166644	0.16931	1
-0.300415	0.014704	0.0280873	1
-0.0914177	0.222764	0.219266	1
-0.0612631	0.16033	0.0667129	1
-0.398498	0.0888813	0.328488	1
-0.241371	0.0248058	0.157026	1
-0.43416	-0.0177234	0.114955	1
-0.381879	-0.236598	0.089468	1
-0.531785	0.0521794	0.206643	1
-0.493854	0.0693961	0.0315185	1
-0.189604	-0.0498169	0.288943	1
-0.313532	0.188349	0.0401799	1
-0.352954	0.149471	0.0340075	1
-0.121514	0.227135	0.00159654	1
-0.249406	-0.000299383	0.00526561	1
-0.0351195	0.169107	0.035142	1
-0.124501	0.188909	0.0113666	1
-0.00791359	-0.0138175	-0.0393777	1
0.00312846	0.00351148	-0.00395128	1
-0.040754	0.00484088	0.0251487	1
-0.0177937	-0.0015475	0.0287302	1
-0.1076	0.00242197	0.0539767	1
-0.328455	-0.00557237	0.293427	1
-0.395285	0.046191	0.0197885	1
-0.289517	0.145561	0.0144388	1
-0.241248	-0.004989	0.0554749	1
-0.32191	0.00596382	0.0965402	1
-0.219512	0.120226	0.0495146	1
-0.262103	0.0221224	0.0510314	1
-0.0278513	0.0494152	0.00748724	1
-0.0488025	-0.0284634	0.321743	1
0.00805175	0.0251314	-0.00548474	1
0.0101352	-0.000389544	-0.00800861	1
-0.11774	-0.0861621	0.0287478	1
-0.0216608	-0.00343728	-0.00552571	1
0.0149356	0.000612028	-0.00335112	1
-0.132758	0.0063837	0.0647714	1
-0.15768	-0.072505	0.126586	1
-0.1792	0.0065082	0.0732722	1
-0.221773	-0.00929106	0.0289312	1
-0.290015	0.0224488	0.167702	1
-0.558257	0.0814458	0.022087	1
-0.231896	-0.00319161	0.209225	1
-0.270522	0.0228779	0.0380255	1
-0.285921	0.0151847	0.172988	1
-0.117698	0.0111311	0.108894	1
0.00380746	0.0500195	0.103602	1
0.00106409	-0.0197305	-0.00362696	1
-0.0271161	-0.000302725	0.0384592	1
-0.151894	0.122001	0.0775397	1
-0.077429	-0.000988173	0.0585501	1
-0.0840756	0.011162	-0.0189541	1
-0.0970918	0.00297092	0.0879884	1
-0.152578	0.0242785	0.073931	1
-0.154846	0.00198207	0.0853189	1
-0.140975	0.0148201	0.00825304	1
-0.233243	0.00598419	0.0312775	1
-0.207655	-0.00887468	0.0547464	1
-0.120356	0.094883	0.254477	1
-0.147371	0.0263438	0.113365	1
-0.0570658	0.0138063	0.231229	1
-0.00752375	-0.00243973	0.000685092	1
-0.00730071	-0.000705159	-0.0427803	1
-0.00463302	-0.000593735	-0.0345771	1
-0.0416269	-0.00466158	0.00385577	1
-0.0378014	0.00239355	-0.00269194	1
-0.0740025	0.0160294	0.000141801	1
-0.0757609	0.00364993	0.00726568	1
-0.208901	0.0552527	0.00778659	1
-0.266417	0.0948543	-0.000771034	1
-0.251675	0.122006	-0.001417	1
-0.1005	-0.00999547	-0.00171551	1
-0.179144	0.121271	0.00546793	1
-0.00783649	0.135849	-0.0151415	1
-0.20398	0.00968855	0.0748552	1
-0.0388386	0.0427434	-0.00199617	1
0.013723	-0.0163262	0.0106154	1
-0.0197484	-0.00596499	-0.0800622	1
-0.0124605	0.000412592	-0.0446516	1
-0.0354902	0.0234537	-0.010895	1
-0.0715751	-0.000678919	-0.0148631	1
-0.0736784	0.00224766	-0.0164428	1
-0.118255	0.00120042	0.0412146	1
-0.447443	-0.0155141	-0.0163216	1
-0.204501	0.0414389	0.0665109	1
-0.181205	0.11319	0.01072	1
-0.386709	-0.00957819	0.0623688	1
-0.549203	0.0650016	0.0455954	1
-0.286044	-0.177771	0.125023	1
-0.29167	0.0388271	0.0941181	1
-0.276386	-0.227175	0.228333	1
-9.17235e-005	0.0649882	-0.000908686	1
-0.00127963	-0.0540331	-0.0288184	1
-0.0260364	-0.00234546	0.00212786	1
0.00276664	-0.0109533	-0.00264466	1
-0.0330932	-0.00159327	-0.064724	1
-0.0620309	0.00321536	0.000417351	1
-0.0810987	-0.0485666	-0.114733	1
-0.167498	-0.0163765	0.00786292	1
-0.239779	0.110002	0.00699831	1
-0.220616	0.132115	0.00704855	1
-0.216186	0.0642591	0.0044729	1
-0.160539	0.0752923	0.0216459	1
-0.115905	-0.025212	0.00339386	1
-0.0991404	0.149614	0.0156932	1
-0.14152	0.00944072	0.0447389	1
-0.000215678	0.0985899	-0.00305248	1
0.00635877	0.0121008	-0.0569992	1
-0.0226235	0.0290327	0.005413	1
-0.0395658	-0.00142553	-0.00279419	1
-0.0413231	0.00497317	0.00260971	1
-0.153213	-0.0355387	0.010572	1
-0.106138	-0.00318184	0.00358642	1
-0.415462	0.0651998	0.277678	1
-0.479831	0.215745	0.0799827	1
-0.409449	0.134684	0.0360993	1
-0.304348	-0.00212409	0.0314396	1
-0.241553	0.0884133	-0.0156897	1
-0.290897	0.0105776	0.00227558	1
-0.002822	0.0705943	0.00383212	1
-0.136463	0.120731	0.0159388	1
-0.012864	0.045548	0.119899	1
-0.00771484	-0.0353562	0.0568331	1
-0.0172459	-0.00369218	-0.0376099	1
-0.0102767	9.93124e-005	0.0426463	1
-0.110831	0.0335254	-0.000332535	1
-0.0742382	-0.000869388	0.00613822	1
-0.230913	0.0701014	-0.00985616	1
-0.276359	0.168449	0.00470358	1
-0.298341	0.170049	-0.000647815	1
-0.293426	0.240353	0.121454	1
-0.100379	0.183671	-0.0106198	1
-0.307118	0.00289659	-0.0044757	1
-0.230527	-0.0042373	0.0514477	1
-0.00829394	0.160841	0.0156717	1
0.0780262	0.0120648	0.0156493	1
-0.387578	0.00120231	0.0965918	1
-0.0577471	-0.0437505	-0.00770137	1
-0.006085	-0.0406771	0.000982983	1
-0.0901302	-0.0226846	-0.00459777	1
0.024734	-0.0161091	-0.0614163	1
-0.171667	-0.0013506	0.0762024	1
-0.178485	0.0241579	-0.0632881	1
-0.328207	0.0676247	0.037743	1
-0.56063	0.19801	0.131667	1
-0.310459	0.12123	0.00262344	1
-0.295848	0.124704	0.0723	1
-0.236345	0.217986	0.00351774	1
-0.0726457	-0.0448569	0.00461117	1
-0.0602624	0.0108308	0.00246412	1
-0.119137	0.0272897	-0.00378395	1
-0.0077925	0.0104628	0.0814836	1
0.0268189	0.220875	0.161519	1
0.00287791	-0.00612496	-0.0244687	1
0.0170205	-0.144832	0.144084	1
-0.010145	-0.0115813	0.0281492	1
0.0425924	0.00175283	0.0623813	1
-0.147458	0.0656693	0.0191825	1
-0.220422	0.0665986	-0.00157288	1
-0.306718	0.158669	0.00524553	1
-0.454022	0.0632105	0.0612802	1
-0.384135	0.163983	0.00184848	1
-0.0959212	-0.0213327	0.0830609	1
-0.117961	0.0330858	0.0195069	1
-0.000396454	0.0579326	0.00196171	1
-0.0973973	0.0102183	0.180725	1
-0.107059	0.0934141	0.0163844	1
-0.00772796	0.000845487	0.0751004	1
0.0325565	0.0749557	0.172896	1
-0.00905927	-0.0368616	0.0148462	1
-0.0616776	0.0812159	0.00188522	1
0.0189114	-0.00890034	-0.0768802	1
-0.112845	0.0259341	0.019806	1
-0.475834	-0.0756187	0.383259	1
-0.505865	0.179116	0.01986	1
-0.18684	0.027726	-0.063217	1
-0.205233	0.164875	0.0106086	1
-0.315043	0.00111989	0.192684	1
-0.0521509	0.175437	-0.00160221	1
-0.252778	-0.227998	0.269806	1
0.00141884	-0.00260319	0.149673	1
-0.00676383	0.101541	0.00334791	1
0.0328806	0.0251498	0.00552606	1
-0.150238	0.017382	0.000310017	1
-0.00850671	0.077532	0.122344	1
-0.0068011	0.0314567	-0.0756242	1
-0.0733151	0.00183435	-0.00853964	1
-0.157205	0.0312039	0.00710902	1
-0.10353	0.0318524	0.074395	1
-0.218867	0.0897196	-0.0682419	1
-0.290652	0.147479	-0.00525466	1
-0.257908	0.140881	0.345277	1
-0.268223	0.0145155	0.105547	1
-0.190941	0.115144	0.013141	1
-0.244041	0.0223386	-0.0495127	1
0.00822254	0.0683162	0.117785	1
-0.00411587	0.0411309	0.241451	1
-0.0232262	0.363151	0.290689	1
-0.0580881	0.00600337	-0.077014	1
-0.406024	0.0181199	-0.0235157	1
-0.0801246	0.045932	0.0015087	1
-0.117624	0.184203	0.00754907	1
-0.598826	0.0695062	0.105014	1
-0.37712	-0.0547797	0.184947	1
-0.278989	0.0289933	0.0138786	1
-0.32273	0.0247636	0.111924	1
-0.28086	-0.0071499	0.048417	1
-0.202498	0.204024	0.00441951	1
-0.243846	0.116523	0.0480447	1
-0.112999	0.082375	0.0619448	1
-0.0118781	-0.0913092	0.10493	1
-0.0816712	-0.0591435	0.258394	1
-0.0731566	0.210199	0.123951	1
-0.369723	0.0541094	0.0498702	1
-0.260734	-0.0833521	0.103397	1
-0.114008	0.0211164	0.00514878	1
-0.153856	-0.0715932	0.31054	1
-0.243067	0.0435759	0.0198411	1
-0.307846	0.0644571	0.0141255	1
-0.498415	0.0845833	0.0208076	1
-0.390556	0.151917	-0.00278542	1
-0.2393	0.0704162	0.0257352	1
-0.328806	0.151528	0.0678128	1
-0.381427	-0.0816377	0.455421	1
0.0355623	0.119899	-0.00493728	1
-0.0348684	0.0477379	0.0379116	1
-0.119186	-0.0274798	0.0321309	1
-0.327749	-0.0112694	-0.0314778	1
0.0127618	0.0513402	0.241159	1
-0.21711	0.238746	-0.112003	1
-0.0997988	-0.0376361	-0.0848991	1
-0.0142845	0.0202492	0.0255676	1
-0.501896	0.0680438	0.152365	1
-0.409414	0.126686	0.0325379	1
-0.531299	0.264036	0.0625137	1
-0.313991	0.247009	0.0413943	1
-0.384468	0.0751916	0.31206	1
-0.240533	0.157989	0.109791	1
-0.121563	0.212136	0.0112439	1
-0.201736	0.167362	0.0430231	1
-0.0488184	0.0105601	0.0612382	1
-0.196123	0.0622179	0.00764813	1
0.0960574	0.0692533	0.258891	1
0.0459815	-0.000278487	0.112539	1
-0.0158952	0.000271731	-0.00757848	1
-0.0595122	0.0029698	0.0560702	1
-0.0223513	-0.00269423	0.124501	1
-0.295085	-0.046496	-0.0299003	1
-0.150052	-0.00280558	0.129998	1
-0.248618	0.0225964	0.126813	1
-0.376897	0.00844404	0.060989	1
-0.264651	0.00567697	0.120692	1
-0.158533	0.0127421	0.191083	1
-0.198286	0.00469057	0.110094	1
-0.237948	-0.00256709	0.15699	1
-0.238438	0.00181155	0.198531	1
0.032427	-0.0338031	0.11962	1
0.0889899	0.0116127	0.0640782	1
-0.0426251	-0.00209566	0.0293444	1
-0.0518662	-0.00263075	0.0447184	1
-0.00483671	0.00109906	0.0744225	1
-0.305411	0.177011	0.243965	1
-0.0454103	-0.00380737	0.100516	1
-0.180734	-9.24933e-005	-0.0601445	1
-0.383618	-0.00525024	0.162253	1
-0.398403	0.0808586	0.0465602	1
-0.332963	0.0604273	0.0664768	1
-0.188397	0.01361	0.00781406	1
-0.535032	0.122026	0.236058	1
-0.0561367	-0.00562245	0.228409	1
-0.106611	0.0298198	0.114597	1
-0.15823	-0.0173624	0.236707	1
0.0199708	-0.0599142	-0.0580972	1
-0.0771599	0.173015	0.174195	1
-0.0849672	-0.0454758	-0.0548451	1
-0.0100092	0.000726888	0.0237432	1
-0.067137	-0.000286585	0.0954688	1
-0.133666	0.00289757	0.0839022	1
-0.244119	0.0170315	0.028444	1
-0.360597	0.0842922	0.190695	1
-0.246632	0.0235824	0.143097	1
-0.246783	0.310247	0.0241262	1
-0.209946	-0.160367	0.285059	1
-0.0960737	0.0729436	0.192426	1
-0.0723657	0.0615181	0.0733183	1
-0.182969	-0.158575	0.137084	1
-0.00991747	0.0628047	0.0510239	1
0.0026251	-0.00488967	0.000134371	1
0.00658696	-0.000753376	0.0641801	1
0.00137972	0.00500909	0.114186	1
-0.226802	-0.0403433	0.417331	1
-0.267349	0.127621	-0.00258703	1
-0.0988869	0.0105705	0.0456306	1
-0.38732	0.185354	0.00465978	1
-0.152609	0.0210784	0.0533296	1
-0.277968	0.00210616	0.225944	1
-0.382719	0.0538245	0.100325	1
-0.322228	0.0309751	0.0166457	1
-0.176175	0.0714209	0.0518815	1
-0.139966	0.0222181	0.18785	1
0.00884295	0.0344582	0.333924	1
-0.0166362	0.00246159	0.144258	1
-0.000530606	-0.00405602	-0.0141354	1
-0.052027	-0.0053519	-0.0140668	1
-0.0679752	-0.00535945	0.0600192	1
-0.0076538	0.136652	-0.000541601	1
-0.0548214	-0.00426471	0.0553618	1
-0.46156	-0.122743	0.238216	1
-0.358496	-0.00231925	0.0530931	1
-0.296155	-0.000901001	0.100864	1
-0.407014	0.0630346	0.246547	1
-0.438736	0.121346	0.21369	1
-0.0585427	-0.000356851	0.112733	1
-0.0873271	0.0885336	0.382651	1
-0.213923	-0.00234312	0.13346	1
-0.130162	0.0129851	0.323372	1
-0.00497096	0.168217	-0.00377174	1
0.000241313	0.00208056	0.00260614	1
-0.00996896	-0.00635343	-0.0205502	1
-0.0578191	-0.00948962	-0.0685432	1
-0.263657	0.196751	0.241867	1
0.0199849	-0.00422247	0.0154947	1
-0.357356	0.0899019	-0.0389492	1
-0.0835989	-0.00172607	-0.0397922	1
-0.387988	0.158105	0.0154733	1
-0.285068	0.164654	0.00948027	1
-0.263746	0.0074272	0.0538283	1
-0.103081	-0.0759947	0.155059	1
-0.00808251	0.163153	0.04121	1
-0.0392683	0.199168	-0.00371828	1
-0.010203	-0.0242837	0.119027	1
-0.00867459	0.0913119	-0.000988097	1
-0.00586939	0.163675	0.0177088	1
-0.0168805	-0.00646065	-0.0408452	1
-0.0810356	0.0336991	0.238196	1
0.0139517	-0.0717674	-0.0971493	1
-0.277825	0.0299536	0.304563	1
-0.0425829	-0.148602	0.131215	1
-0.270642	0.0149115	0.140403	1
-0.34921	-0.0437024	-0.0341832	1
-0.174356	-0.00303629	0.0536686	1
-0.258649	0.0089771	0.011149	1
-0.294575	0.0326051	0.0170559	1
-0.261765	0.0326684	0.200353	1
-0.205401	0.03496	0.177064	1
-0.0528429	-0.050369	0.27106	1
-0.00723293	-0.0248498	0.123295	1
0.00663622	0.149499	0.072259	1
-0.0903283	-0.00139315	0.169897	1
0.00776485	0.00721867	-0.029194	1
-0.511408	0.0057581	0.336672	1
-0.0578777	0.0436978	0.0691682	1
-0.309943	0.0298328	0.256354	1
-0.0379997	-0.00626057	-0.00108032	1
-0.360408	0.132543	0.00972461	1
-0.266208	-0.182047	0.157451	1
-0.0758125	0.00178933	-0.00383454	1
-0.193669	0.0269579	0.142685	1
0.0883039	0.144057	0.17732	1
-0.383299	-0.00884955	0.331874	1
-0.0526176	-0.0260482	0.0230266	1
0.00163532	0.0805218	0.0255847	1
0.0100727	0.0404647	-0.000514167	1
0.0177912	-0.0430196	-0.0484883	1
-0.0765893	0.00416736	-0.114796	1
-0.112374	0.0911554	0.091882	1
-0.0955016	0.00792757	-0.0210922	1
-0.250971	0.110917	-0.00787386	1
-0.615534	0.262269	0.209076	1
-0.241052	0.00771779	0.0979083	1
-0.11235	0.00685891	0.0119998	1
-0.128889	-0.0732795	0.0559709	1
-0.483719	0.0493596	0.121112	1
-0.272638	-0.00789431	-0.00342989	1
-0.0600771	0.158907	0.0823352	1
-0.00183944	-0.0134147	0.0389624	1
-0.00798629	0.0207397	0.11461	1
-0.0531417	0.174934	0.213865	1
-0.0159542	-0.0905243	0.141679	1
-0.204769	0.0810579	0.140378	1
-0.0198174	-0.00401344	-0.00303746	1
-0.115957	0.0496538	0.119603	1
-0.303298	0.0551523	0.160768	1
-0.495674	0.0159698	0.357327	1
-0.279265	0.0106819	0.041257	1
-0.424381	0.0192275	0.437321	1
-0.384015	0.0350348	-0.0164215	1
-0.330477	0.116831	0.0108569	1
-0.27056	0.00713593	0.077362	1
-0.165224	0.0313175	0.154807	1
-0.00139017	0.0873164	0.0601088	1
0.00401312	0.15373	0.0998474	1
0.00370029	0.125216	0.133564	1
-0.0814873	-0.000287628	0.0083361	1
-0.162815	-0.0157115	-0.03824	1
-0.255093	-0.0639434	0.111026	1
-0.080021	-0.00499181	0.0842479	1
-0.128367	0.01223	0.061477	1
-0.246689	-0.0208034	-0.015641	1
-0.292764	0.210755	0.0147671	1
-0.491618	0.159047	-0.0301959	1
-0.471151	0.10854	0.427168	1
-0.198804	0.240949	0.0279466	1
-0.160176	0.0183829	0.138751	1
-0.0511123	0.000324246	0.0886469	1
-0.00986251	0.11735	0.0392091	1
-0.016363	0.0502643	0.119979	1
-0.108289	-0.136014	0.0758527	1
0.167203	0.00632058	0.0633162	1
-0.0441351	0.0989867	-0.035566	1
0.0627559	0.0020383	0.0714602	1
-0.042993	-0.00536263	0.0997851	1
-0.187301	0.00246856	0.0987386	1
-0.385361	0.0622727	0.164175	1
-0.123129	0.150426	0.139905	1
-0.510978	0.132512	0.12047	1
-0.495131	0.0850879	0.00896338	1
-0.0753655	-0.077851	0.194861	1
-0.116732	-0.0678314	-0.0370588	1
-0.0728795	0.170255	-0.0159826	1
0.000638458	0.143113	0.0771696	1
0.00245434	0.126948	0.0786959	1
-0.115011	-0.0243573	-0.049132	1
-0.0168128	0.0115123	-0.0251769	1
-0.589337	0.116951	0.269311	1
-0.463907	0.22892	0.193889	1
-0.543037	0.146697	0.240421	1
-0.213088	0.0183025	0.0326416	1
-0.534415	0.119625	0.283169	1
-0.203716	0.0412532	0.179228	1
-0.491237	0.203993	0.033142	1
-0.177644	0.208045	-0.00242056	1
-0.249519	-0.167462	0.162936	1
-0.184657	0.0278035	0.100543	1
-0.173723	0.215049	0.0938436	1
0.000679891	0.0959213	0.153329	1
0.011055	0.138403	0.118979	1
-0.0136121	-0.0509367	-0.0801106	1
-0.0458418	-0.000241252	-0.00947934	1
-0.341244	0.106343	0.305469	1
-0.329698	0.0351184	0.0635073	1
-0.248095	0.0133524	0.0724492	1
-0.304673	0.00526479	0.128926	1
-0.214962	0.0141096	0.0100203	1
-0.453365	0.0214301	0.0305311	1
-0.580201	0.129362	0.0811167	1
-0.497522	0.159615	0.0299218	1
-0.213567	0.056465	0.000649585	1
-0.113716	-0.122522	0.375163	1
-0.386596	0.281279	0.282791	1
-0.0849972	0.26839	0.0179729	1
0.106138	0.0306874	0.230027	1
-0.0710154	-0.0587051	0.00703353	1
0.0172632	-0.0795051	-0.0321839	1
-0.00509158	-0.00195121	0.119485	1
-0.494264	0.174386	0.318693	1
-0.0909707	0.0110211	0.013413	1
-0.54419	0.146469	0.366669	1
-0.47472	-0.0994658	-0.0208831	1
-0.271265	0.258874	0.0189649	1
-0.391382	0.107538	0.343646	1
-0.344941	-0.0219438	0.335968	1
-0.112093	0.126903	0.426635	1
-0.198166	0.0595035	0.0903645	1
-0.231617	0.0164689	0.203211	1
-0.202323	0.304948	-0.0744465	1
0.055467	0.114757	0.104925	1
0.0447299	0.171787	-0.0223484	1
-0.162043	-0.229377	-0.0648603	1
-0.0265866	-0.0256839	0.111048	1
-0.0457063	0.00555801	0.0622336	1
-0.519543	0.0962045	0.168409	1
-0.267624	0.193475	0.0916996	1
-0.108725	0.00764111	0.0902752	1
-0.598395	0.199146	0.0830368	1
-0.327865	-0.0230292	0.18412	1
-0.232614	-0.00163776	0.211749	1
-0.172554	0.0477	0.187381	1
-0.0738308	-0.0285276	0.110804	1
-0.06096	0.0269266	0.239322	1
-0.0951078	-0.0447092	0.101127	1
-0.0364674	-0.0349764	0.212048	1
-0.006761	0.111444	0.201778	1
-0.0170975	-0.0123982	0.0774111	1
0.016826	0.00219243	0.0713555	1
-0.486194	0.0563514	0.201001	1
