X	Y	Z
-5.74479	-4.84133	-8.82355
-4.07281	-4.46364	-7.43431
-5.11154	-4.39421	-6.2199
-3.64309	-4.43852	-8.22407
-2.28028	-4.46731	-7.37393
-0.780172	-4.4941	-8.09678
2.41843	-5.64331	-8.83422
4.03997	-4.78819	-8.82083
3.90745	-4.49402	-8.05981
5.58289	-4.78899	-8.82184
7.27839	-4.8038	-8.82007
6.03	-5.29521	-7.11502
8.00395	-7.25702	-7.99809
-6.73807	-8.86103	-6.7853
-5.83529	-5.15318	-6.33813
-5.53381	-4.4495	-8.18561
-6.29763	-5.46199	-7.97241
-4.61154	-7.10093	-7.2463
-4.61111	-4.42886	-8.1524
-1.95089	-5.42177	-7.9065
-1.36878	-4.48267	-7.40023
1.57153	-5.4318	-7.95731
3.09545	-6.33393	-7.98212
3.9083	-5.21489	-7.06437
5.39211	-5.40755	-7.96934
4.9015	-5.25493	-5.55443
4.79994	-5.32069	-7.24047
6.29153	-5.40104	-7.95307
-6.19217	-5.38733	-7.15307
-6.30933	-5.97281	-6.44312
-5.75464	-4.32264	-6.82521
-5.40259	-6.54879	-6.45708
-4.38758	-5.39072	-7.14121
-1.83199	-5.34648	-6.98766
-0.951166	-5.39121	-7.1403
0.619669	-4.45493	-7.27825
1.12491	-4.49731	-8.05547
2.97615	-5.34947	-7.19768
3.77744	-6.67341	-6.55356
5.54991	-6.34766	-7.96159
5.39302	-8.86082	-7.32689
7.23021	-7.19443	-6.13162
6.4757	-7.96396	-7.31985
-7.90826	-8.86104	-7.46042
-6.37698	-8.86222	-6.23225
-4.91886	-8.03812	-5.83844
-4.13722	-8.86109	-6.28554
-3.98851	-8.03728	-5.92315
-1.28762	-8.86187	-5.43868
-1.07247	-7.25934	-4.87132
-0.767808	-7.20236	-8.00479
1.12984	-8.86142	-6.29109
1.8686	-8.86049	-6.44025
2.4245	-8.00341	-4.95151
3.70876	-8.86187	-6.19903
4.87699	-8.86245	-5.83359
6.24769	-8.86173	-6.02125
7.93891	-8.8625	-8.09533
-7.95225	-8.862	-6.22946
-3.94237	-8.02374	-4.65214
-5.57055	-8.86148	-6.28695
-4.84787	-8.86205	-6.25734
-2.21258	-8.86112	-6.75796
-1.9377	-7.98929	-4.86329
0.637468	-8.86073	-6.83839
0.178949	-8.86081	-7.42237
1.39899	-8.86038	-6.92277
0.909369	-7.24866	-6.43824
1.71348	-8.02032	-5.12513
4.23004	-8.86117	-7.49511
5.10955	-8.86142	-6.5466
6.77233	-8.86129	-5.45735
8.07588	-8.86172	-6.82462
-8.85434	-8.13584	-8.85591
-6.6757	-8.8613	-5.62899
-7.98993	-6.18045	-5.65151
-3.029	-8.86104	-6.9184
-2.24007	-8.86161	-8.04969
-1.2124	-8.86106	-7.36352
-0.522981	-8.86102	-7.38984
-0.21144	-8.86202	-8.04796
0.477214	-8.86182	-8.06383
2.54096	-8.86169	-7.97926
3.17686	-8.86131	-8.043
3.97971	-8.86089	-6.86335
6.76641	-8.8602	-7.46097
5.58756	-8.86238	-5.9734
8.40301	-8.86069	-8.85951
-8.85353	-8.85812	-7.96791
-8.03209	-8.86151	-8.04887
-5.21692	-8.86138	-6.89258
-5.62503	-8.85745	-8.85416
